bank_name,incident_date,start_time,end_time,duration_minutes,planned_or_unplanned,source,impact_area,notes
State Bank of India,2026-01-07,01:00,02:30,90,planned,bank maintenance notice,upi,UPI switch maintenance during low-traffic hours
State Bank of India,2026-02-19,18:20,19:05,45,unplanned,operations desk note,multiple,Customer complaints indicated intermittent failures
State Bank of India,2026-03-23,00:30,02:00,90,planned,bank maintenance notice,mobile_banking,Mobile banking maintenance window
HDFC Bank,2026-01-15,22:10,23:05,55,unplanned,social monitoring sample,upi,Spike in failed UPI attempts
HDFC Bank,2026-02-11,01:00,02:00,60,planned,bank maintenance notice,netbanking,Planned netbanking maintenance
HDFC Bank,2026-04-08,17:35,18:20,45,unplanned,operations desk note,upi,Short UPI degradation during evening peak
ICICI Bank,2026-01-22,02:00,03:15,75,planned,bank maintenance notice,multiple,System upgrade notice
ICICI Bank,2026-03-05,12:40,13:10,30,unplanned,operations desk note,upi,Midday intermittent UPI declines
ICICI Bank,2026-04-20,23:30,00:20,50,planned,bank maintenance notice,cards,Cards and digital channels maintenance
Axis Bank,2026-02-04,00:45,02:15,90,planned,bank maintenance notice,upi,UPI collect request maintenance
Axis Bank,2026-03-18,19:15,20:05,50,unplanned,customer support sample,multiple,App and UPI failures reported
Axis Bank,2026-05-02,01:30,02:30,60,planned,bank maintenance notice,netbanking,Netbanking service upgrade
Kotak Mahindra Bank,2026-01-29,23:45,01:15,90,planned,bank maintenance notice,multiple,Core banking maintenance crossing midnight
Kotak Mahindra Bank,2026-04-14,16:25,17:00,35,unplanned,operations desk note,upi,Afternoon intermittent UPI decline
Punjab National Bank,2026-02-25,00:00,01:30,90,planned,bank maintenance notice,mobile_banking,Mobile banking outage notice
Punjab National Bank,2026-03-30,10:20,11:10,50,unplanned,news report sample,upi,Public complaint spike during morning hours
Bank of Baroda,2026-03-12,01:15,02:45,90,planned,bank maintenance notice,upi,UPI services unavailable during maintenance
Bank of Baroda,2026-05-09,20:30,21:25,55,unplanned,operations desk note,multiple,Evening degraded success rate
Canara Bank,2026-01-11,02:00,03:00,60,planned,bank maintenance notice,netbanking,Internet banking maintenance
Canara Bank,2026-04-27,09:50,10:35,45,unplanned,customer support sample,upi,Morning UPI disruption
